,Unnamed: 0,date_published,headline,synopsis,full_text
0,0,"3 Jan, 2008",'Developed nations responsible for climate change',"Industrialised countries have the ""biggest"" responsibility for the impact on climate change, says PM Manmohan Singh. 
","VISAKHAPATNAM: Observing that industrialised countries have the ""biggest"" responsibility for the impact on climate, Prime Minister Manmohan Singh on Thursday put the onus on them to correct the damage. Addressing the 95th Indian Science Congress, he said the world cannot walk down the path of environmentally harmful development that developed industrial economies have pursued thus far. ""They bear the biggest responsibility for what has happened and must bear the greatest responsibility for correcting the damage,"" Singh said adding climate change posed a great and a new challenge to the development prospects and to the livelihood of the people. Noting that India has adopted a ""pro-active and pragmatic approach"" to the problem of environmental degradation, he said ""we cannot replicate the western model of wasteful consumption and environmentally harmful industrialisation. ""We need an alternative approach more mindful of our resource endowments, and also of the need to avoid damage to the environment "", the Prime Minister said adding ""we need a global response, a national response and a local response."" An expert committee headed by R Chidambaram had come forward with a research agenda to study the impact of climate change in the country, he said adding the government was in the process of identifying a centre of national excellence on climate change. S"
1,1,"3 Jan, 2008",Probe into death of two baby elephants,"Kerala government on Sunday ordered a probe into the death of two baby elephants at a camp for the pachyderms at Kodanad in Ernakulam district. 
","THIRUVANANTHAPURAM: Kerala government on Sunday ordered a probe into the death of two baby elephants at a camp for the pachyderms at Kodanad in Ernakulam district. Palakkad Chief Forest Conservator (Wildlife) would conduct the probe, an official release said. The elephants- Aswathi and Niranjan -- had died recently after showing symptoms of 'herpis virus' infection. But, only after getting final laboratory report, the real cause behind the death could be determined, the release said. However, the officials at the Elephant camp have taken steps to prevent the spread of the infection. Elephants with the infection needed immediate medical treatment, it said.S"
2,2,"3 Jan, 2008",UN survey reveals alarming malnutrition rates among Darfur’s children,"Child malnutrition rates have reached their highest level in three years in the strife-torn Darfur region of Sudan, according to a joint survey carried out by the Government and the United Nations.","NEW YORK: Child malnutrition rates have reached their highest level in three years in the strife-torn Darfur region of Sudan, according to a joint survey carried out by the Government and the United Nations, which is leading what is the currently the largest relief effort in the world aimed at assisting some 4.2 million people.The overall malnutrition rate among children under five in Darfur reached 16.1 per cent this year, compared to 12.9 per cent last year, surpassing for the first time since 2004 the emergency threshold of 15 per cent. That is just one of the findings of the food security and nutrition assessment carried out in August and September by the UN World Food Programme the Food and Agriculture Organization and the UN Children’s Fund, along with the Sudanese Government. The report also reveals that a larger proportion of children aged 6-29 months are malnourished than children aged 30-59 months. Moreover, malnutrition is highest in North Darfur – over 20 per cent – compared to other parts of the region.Among the contributing factors cited in the report are poor feeding practices, inadequate sanitation, low health coverage, and low coverage of special feeding programmes. More than 13,000 humanitarian workers are deployed in Darfur, including staff from 13 UN agencies, the Red Cross/Red Crescent societies and some 80 international non-governmental organizations (NGOs).Over 200,000 people have been killed and another 2.2 million forced to flee their homes, living either as internally displaced persons (IDPs) or as refugees in neighbouring Chad and the Central African Republic (CAR), since fighting began between Government forces and rebel groups in 2003.S"
3,3,"3 Jan, 2008",Cattle get more grain than people ,More grain and cereal is fed to the livestock bred for meat in Russia and the USA than is consumed by the entire population of the third world., More grain and cereal is fed to the livestock bred for meat in Russia and the USA than is consumed by the entire population of the third world.S
4,4,"3 Jan, 2008",Protests after Ministry's nod for Uranium mining,"Ahead of the assembly elections in Meghalaya, CM D D Lapang is facing protests over the clearance to go ahead with the proposed uranium mining.","SHILLONG: Ahead of the assembly elections in Meghalaya, chief minister D D Lapang has landed in a piquant situation following protests from organizations over the Environment and Forest ministry’s clearance to Uranium Corporation of India Limited to go ahead with the proposed uranium mining. Lapang has sought the opinion of all political parties to help the government take a decision over the proposed mining, a pestering issue that saw violent protests early last year. Congress insiders here said the party wanted to wash its hands off the matter and so the chief minister has asked the political parties for suggestion before the government decides on whether to allow the UCIL to go ahead with the mining. The chief minister’s move comes in the wake of protests by organizations, including the powerful Khasi Students Union (KSU), which has demanded the state government not to allow the UCIL to proceed with the mining. Terming the environment ministry's clearance as ‘unfortunate’, the KSU said such a ‘decision’ is detrimental to the people of the state. In fact, KSU general secretary Hamlet Dohling said it would convene a meeting with various political parties next week to discuss the ‘sensitive parts’ of the proposed mining. A separate meeting will also be held with leaders of various organizations, he added. The Meghalaya People's Human Rights Commission (MPHRC) has also strongly opposed the clearance saying under no circumstances will the commission ""accept the ministry's approval.""S"
5,5,"3 Jan, 2008",Elephant tramples man to death,An elderly man was trampled to death and his wife critically injured when an elephant attacked them at village Rangamati under Kalunga police station.,"ROURKELA: An elderly man was trampled to death and his wife critically injured when an elephant attacked them at village Rangamati under Kalunga police station, about 25 kms from here, police said on Thursday. Fifty-five year old Rajan Surin and his wife Rahil faced the wrath of the wild elephant, when they were returning home last night. Rajan's wife was admited to Birkera Primary Health Centre. Forest officials have given Rs 6000 financial help for funeral expenses.S"
6,6,"3 Jan, 2008",Beckham is bad for environment,"Climate watchdog Carbon Trust says David Beckham has both ""the biggest carbon footprint in the world"" and ""the largest carbon footprint in human history."" 
","Bad news for David Beckham. According to climate watchdog Carbon Trust the former England captain has both ""the biggest carbon footprint in the world"" and ""the largest carbon footprint in human history."" The reason for Beckham’s dirty oversized environmental footprint can be summed up in two words: Air fare.Beckham spent much of 2007 jet-setting back and forth between Spain, England and the west coast of the United States to play for Real Madrid, England and the Los Angeles Galaxy respectively. Add Beckham’s trips around America to MLS away games (including those that he watched while nursing his ankle) plus his and Posh Spice’s various promotional paydays and the Becks-inspired Los Angeles Galaxy tour to Australia and New Zealand. Factor in his fifteen cars, including a Hummer.S"
7,7,"7 Jan, 2008",CWG committee for Greener games ,"In order to make the Commonwealth Games greener, the organising committee has invited bids from consultants to help it minimise the impact of the mega event on the environment.","NEW DELHI: In order to make the Commonwealth Games greener, the organising committee has invited bids from consultants to help it minimise the impact of the mega event on the environment. ""The mega sports events have multiple impacts on a host city or region. The goal of the organising committee is to minimise the overall environmental footprint of such events and manage the socio-economic impacts,"" the organising committee said while inviting Request for Proposals (RFP) for consultancy services for Commonwealth Games 2010. The interested parties have been given time up to January 21 to submit their RFPs to the organising committee. While the Commonwealth Youth Games will be held this year in Pune, the Games in Delhi is slated for 2010. These efforts, the organising committee said, were aimed at showcasing the principles of sustainable development. Consultancy organisations with an annual turnover of Rs 50 crore in the last three financial years or having experience in providing sustainability and environment related services to at least one multi-sport event would be eligible to submit the RFPs. The identified firms, which will act as advisors and facilitators to the organising committee, are expected to have requisite expertise in providing consultancy and implementation services in the field of sustainable development. Preference, it added, would be given to those which have demonstrated experience with more than three GRI-compliant sustainability reports in the country.S"
8,8,"7 Jan, 2008",Govt invites EoIs for coastal project ,The government has invited Expressions of Interest from environmental consultants for the World Bank-aided Integral Coastal Management Project. ,"NEW DELHI: The government has invited Expressions of Interest (EoI) from environmental consultants for the World Bank-aided Integral Coastal Management Project. Inviting EoI for different components of the project from interested parties, the Ministry of Environment and Forests said in an advertisement. The selected consultants would have to develop methodology for identification and mapping of ecologically sensitive areas in coastal zones. The prospective consultants, which will be required to submit their bids within a fortnight to the ministry, will be involved with development of procurement and financial management systems in consultation with the Environment Ministry and state government agencies. The Ministry of Environment and Forest will choose eligible consultants in compliance with the guidelines of the World Bank. S"
9,9,"7 Jan, 2008",Pachauri supports India's nuclear power quest ,"Supporting India's quest for nuclear power, United Nations climate panel's chief R K Pachauri has said that country should pursue it to contain emission and meet energy needs.","MUMBAI: Supporting India's quest for nuclear power, United Nations climate panel's chief R K Pachauri has said that country should pursue it to contain emission and meet energy needs. ""Nuclear power in my mind will have a place in overall scheme of things. Firstly, it is a clean energy as it does not emit any green house gases. Secondly, to certain extent, it would offset the pressure on fossil fuel,"" Pachauri, chairman, Intergovernmental Panel on Climate Change said. In next one decade, you will not get a major chunk of energy from Nuclear power. Only six to seven per cent of energy need will be met. But you are laying the foundation of a much larger share of nuclear energy. ""I am not saying that nuclear is without any problems. Ensuring the safeguards of handling nuclear energy, the government must pursue with it as we have very serious shortage of national resources in this country like coal and hydrocarbons,"" he said. ""Therefore, nuclear power provides an opportunity to enhance energy sources and cut pollution levels. The government also understands this,"" Pachauri said. On the issue of reducing emission to control climate change, Pachauri said that though India should not shy away from its responsibility of cutting emission, the onus lay on the developed countries to start the process. ""This is an issue, based on common but differentiated responsibility. India cannot be expected to commit to reduce emissions. It has to be first done by the developed nations,"" the Nobel laureate said. IPCC led by Pachauri last year won the Nobel Peace Prize for sounding the alarm over global warming and spreading awareness on how to counteract it.S"
